,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
2022-01-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01 09:00:00,0,0,0,0,19,0,11,11,0,3,15,0,0,0,0,0,11,9,0,10,15,13,0,9,14,0,15,0,19,14,0,9,25,14,0,13,0,0,0,0
2022-01-01 10:00:00,23,0,0,0,25,4,19,18,13,5,23,22,10,11,11,17,18,18,10,14,24,21,14,14,23,33,28,15,25,24,20,15,36,22,36,19,24,0,0,0
2022-01-01 11:00:00,37,0,0,0,31,8,26,23,20,7,33,33,17,18,17,26,24,26,17,18,33,28,20,21,34,46,38,28,31,35,33,23,47,29,50,25,39,0,0,0
2022-01-01 12:00:00,45,0,0,0,33,10,31,32,22,8,41,41,25,24,23,33,28,32,22,22,42,34,27,28,42,51,45,38,36,41,42,27,51,34,56,28,46,0,0,0
2022-01-01 13:00:00,51,0,0,0,35,13,37,40,26,12,45,50,31,29,30,39,35,38,26,28,50,41,34,37,50,55,54,45,45,49,50,34,57,41,61,33,58,0,0,0
2022-01-01 14:00:00,62,0,0,0,39,18,47,51,34,16,50,60,41,32,37,49,45,45,31,34,61,51,43,46,59,61,65,55,53,60,61,44,68,47,68,42,76,0,0,0
2022-01-01 15:00:00,60,0,0,0,39,18,47,53,34,16,49,60,45,33,39,48,45,44,29,35,60,52,45,48,56,61,64,54,56,59,54,43,67,47,63,43,77,0,0,0
2022-01-01 16:00:00,62,0,0,0,40,19,52,60,38,19,51,59,49,36,44,50,48,46,30,36,64,54,49,52,59,65,66,57,63,64,56,46,73,52,69,49,80,0,0,0
